review_id,product_id,user_id,rating,title,review_text
261,105,U261,5.0,Amazing 😍,hope brand continue grow launch variant duo worth penny mild fragrance pleasant cleanse conditioner outstanding job definite repurchase
262,105,U262,4.0,Just okay,smell not leave shampoo
263,105,U263,2.0,Makes hair frizzy,frizzy dry not statisfied
264,105,U264,1.0,Worst shampoo ever.,absolute worst shampoo fall clump work strengthening opposite terrible waste money
265,105,U265,1.0,Very worst,dry not worth completely spoiled
266,106,U266,5.0,Good smell and shine,smell feel shiny wash
267,106,U267,5.0,Shampoo,soft decrease fall
268,106,U268,5.0,This is amazing shampoo,shampoo aloe extract natural ingredient soft fizzy dry highly recommend brand
269,106,U269,5.0,Best for silky shiny hair,reduce hairfall give silky shiny shampoo conditioner superb
270,106,U270,5.0,I love this shampoo,herbal sulphate free aloevera bamboo suggest chemical filled shampoos soft shiny highly recommended
271,106,U271,5.0,Makes hair silky,shampoo silly mom shampoo washing work
272,106,U272,5.0,Smells divine,week silky soft smell divine
273,106,U273,5.0,My favourite,mild shampoo suit scalp dry scalp health improve lot started shampoo
274,106,U274,5.0,It's a great shampoo,shampoo mild aroma bouncy shiny feel volume increasing totally worth
275,106,U275,5.0,Amazing Shampoo,shampoo soft wash leave fresh smell natural sulphate free
276,106,U276,5.0,Loving this shampoo,herbal essence shampoo strengthen nourishing free sulphate paraben important thing
277,106,U277,5.0,Great,started shampoo feel soft absolutely loving thing sulphate paraben free
278,106,U278,5.0,Shampoo for super smooth hair,bought not fragrance provide texture ypur dealing dryness loss ingredient pretty shampoo thrice week result buy
279,106,U279,5.0,Good product,herbal essence aloe bamboo shampoo refreshing smell leave squeaky clean shampoo shiny healthy wavy frizzy shampoo sulfate parabens free planet bottle recycled plastic cruelty free vegan
280,106,U280,5.0,Awesome product...!!!,aloe bamboo shampoo flawless added nourishment added shine essential ingredient helped never
281,106,U281,5.0,Perfect for smooth hair!,recently discovered brand herbal essences absolutely loving result shampoo conditioner super soft ingredient aloe bamboo strengthen soothes scalp quantity lot price totally worth buy damage save
282,106,U282,5.0,Loved it,shampoo packing shiny silky
283,106,U283,5.0,Best shampoo for silky smooth hair,shampoo moisturizes dry making soft hydrate increasing manageability shine sulphate parabens experience strength shine softness shampoo worth
